Character,Sprite Description,Prompt
Quacks - talking,"Same small duck with beak open mid-speech. Front-facing. Magnifying glass lowered. Intense conspiratorial expression. Leaning forward.","Pixel art call duck character, front-facing view, very small compact round body, beak open talking, magnifying glass lowered to side, intense conspiratorial whispering expression, leaning forward slightly, colorful detailed pixel art style, transparent background, single character, full body visible"
Quacks - investigating,"Duck crouched low peering through magnifying glass. Front-facing. Body hunched forward. Intense focused detective expression.","Pixel art call duck character, front-facing view, very small compact body crouched low, peering through magnifying glass held up to eye, body hunched forward in detective pose, intense focused investigating expression, colorful detailed pixel art style, transparent background, single character, full body visible"
Quacks - suspicious,"Duck with narrowed eyes looking suspiciously. Front-facing. Magnifying glass at side. One eyebrow raised. Skeptical paranoid expression.","Pixel art call duck character, front-facing view, very small compact body, narrowed suspicious squinting eyes, magnifying glass held at side, one eyebrow raised, deeply skeptical paranoid expression, colorful detailed pixel art style, transparent background, single character, full body visible"
Quacks - eureka,"Duck jumping up with excitement. Front-facing. Both wings raised. Eyes wide and bright. Magnifying glass in one wing. Light bulb moment.","Pixel art call duck character, front-facing view, very small compact body jumping up excitedly, both wings raised high in the air, eyes wide and bright, magnifying glass in one wing, eureka discovery lightbulb moment expression, colorful detailed pixel art style, transparent background, single character, full body visible"
Quacks - walking,"Small duck waddling forward mid-step. Front-facing but angled slightly. Magnifying glass in one wing. Quick determined stride.","Pixel art call duck character, front-facing view angled slightly to show walking motion, very small compact body mid-waddle walk, magnifying glass in one wing, quick determined stride, tiny legs in walking motion, colorful detailed pixel art style, transparent background, single character, full body visible"
Reows - idle,"Large bear standing in confident relaxed pose, front-facing. Wearing a white collar around neck and a blue pork pie hat with a white center. Body covered in brown fur with lighter brown patches on belly, face, and inner ears. Biggest character. Arms at sides with a slight grin.","Pixel art bear character inspired by Yogi Bear, front-facing view, large round body, brown fur with lighter brown patches on belly face and inner ears, wearing a white collar around neck and a blue pork pie hat with a white center, biggest character of the group, confident relaxed idle pose, slight friendly grin, arms at sides, colorful detailed pixel art style, transparent background, single character, full body visible"
Reows - talking,"Same bear with mouth wide open talking enthusiastically. Front-facing. Brown fur with lighter patches. White collar and blue pork pie hat with white center. One arm gesturing wildly. Big excited expression.","Pixel art bear character inspired by Yogi Bear, front-facing view, large round body, brown fur with lighter brown patches on belly face and inner ears, white collar around neck, blue pork pie hat with white center, mouth wide open talking enthusiastically, one arm gesturing wildly, big excited animated expression, colorful detailed pixel art style, transparent background, single character, full body visible"
Reows - burst_entrance,"Bear bursting in with maximum energy. Front-facing. Brown fur with lighter patches. White collar and blue pork pie hat flying slightly from momentum. Arms spread wide. Dynamic explosive entrance pose.","Pixel art bear character inspired by Yogi Bear, front-facing view, large round body, brown fur with lighter brown patches on belly face and inner ears, white collar around neck, blue pork pie hat with white center flying slightly from momentum, arms spread wide in dramatic entrance, bursting in with explosive maximum energy, dynamic action pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Reows - excited,"Bear bouncing with pure joy. Front-facing. Brown fur with lighter patches. White collar and blue pork pie hat bouncing. Both arms pumping. Huge open-mouth smile. Maximum enthusiasm.","Pixel art bear character inspired by Yogi Bear, front-facing view, large round body bouncing with pure joy, brown fur with lighter brown patches on belly face and inner ears, white collar around neck, blue pork pie hat with white center, both arms pumping upward, huge open-mouth excited smile, hat bouncing from energy, maximum enthusiasm pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Reows - scheming,"Bear hunched slightly with fingers tented together. Front-facing. Brown fur with lighter patches. White collar and blue pork pie hat tilted down. Sly devious grin. Planning something. Eyes gleaming.","Pixel art bear character inspired by Yogi Bear, front-facing view, large round body hunched forward slightly, brown fur with lighter brown patches on belly face and inner ears, white collar around neck, blue pork pie hat with white center tilted down shadily, fingers tented together deviously, sly scheming grin, eyes gleaming with a plan, plotting mischief pose, colorful detailed pixel art style, transparent background, single character, full body visible"
Reows - walking,"Large bear striding forward with big confident steps. Front-facing but angled slightly. Brown fur with lighter patches. White collar and blue pork pie hat. Swinging arms. Bouncy energetic walk.","Pixel art bear character inspired by Yogi Bear, front-facing view angled slightly to show walking motion, large round body mid-stride walking confidently, brown fur with lighter brown patches on belly face and inner ears, white collar around neck, blue pork pie hat with white center, swinging arms with big steps, bouncy energetic walk, colorful detailed pixel art style, transparent background, single character, full body visible"
Pens - portrait,"Close-up face portrait of the penguin. Black and white body. Maroon crest on head. Half-lidded deadpan eyes. Small beak. Cool unflappable expression.","Pixel art close-up portrait of a penguin face, front-facing, black and white coloring, maroon crest on top of head, half-lidded deadpan cool eyes, small beak, unflappable calm expression, head and upper body only, square composition, colorful detailed pixel art style, transparent background"
Chubs - portrait,"Close-up face portrait of the grey seal. Black top hat on head. Whiskers visible. Small friendly eyes. Warm business smile.","Pixel art close-up portrait of a grey seal face, front-facing, black top hat on head, visible whiskers, small friendly eyes, warm business smile, head and upper body only, square composition, colorful detailed pixel art style, transparent background"
Meows - portrait,"Close-up face portrait of the cat. Monocle over one eye. Sharp refined features. Dignified composed expression. Sleek fur.","Pixel art close-up portrait of a cat face, front-facing, monocle over one eye, sharp refined features, dignified composed expression, sleek fur, head and upper body only, square composition, colorful detailed pixel art style, transparent background"
Oinks - portrait,"Close-up face portrait of the pig. Friendly round face. Blue tie visible at neck. Warm kind eyes. Slightly tired but good-natured smile.","Pixel art close-up portrait of a pig face, front-facing, friendly round face, blue tie visible at neck area, warm kind eyes, slightly tired but good-natured smile, head and upper body only, square composition, colorful detailed pixel art style, transparent background"
Quacks - portrait,"Close-up face portrait of the call duck. Small compact head. Suspicious squinting eyes. Tiny determined beak. Alert watchful expression.","Pixel art close-up portrait of a call duck face, front-facing, small compact head, suspicious squinting watchful eyes, tiny determined beak, alert detective expression, head and upper body only, square composition, colorful detailed pixel art style, transparent background"
Reows - portrait,"Close-up face portrait of the bear. Brown fur with lighter brown patches on face and inner ears. Blue pork pie hat with white center on head. White collar around neck. Big enthusiastic grin. Bright energetic eyes.","Pixel art close-up portrait of a bear face inspired by Yogi Bear, front-facing, brown fur with lighter brown patches on face and inner ears, blue pork pie hat with white center on head, white collar around neck, big enthusiastic wide grin, bright energetic eyes, head and upper body only, square composition, colorful detailed pixel art style, transparent background"
Background - diner,"Interior of Oinks' Main Street diner. Counter with bar stools. Booths along windows. Checkered floor. Warm cozy lighting. Neon sign. Retro 1950s diner feel.","Pixel art retro diner interior, counter with bar stools, booths along windows, checkered floor, warm cozy lighting, neon open sign, 1950s retro diner atmosphere, front-facing perspective with depth, colorful detailed pixel art style, no characters present, vertical 9:16 aspect ratio"
Background - beach,"Sandy island beach with ocean and palm trees. Blue sky with fluffy clouds. Gentle waves. Bright tropical colors. Relaxed vacation feel.","Pixel art tropical island beach scene, sandy shore in foreground, gentle ocean waves, palm trees, blue sky with fluffy white clouds, bright tropical colors, relaxed island paradise atmosphere, front-facing perspective with depth, colorful detailed pixel art style, no characters present, vertical 9:16 aspect ratio"
Background - forest,"Dense island forest with tall trees. Mossy ground. Dappled light through canopy. Mysterious adventurous atmosphere. Greens and browns.","Pixel art forest scene, tall detailed trees, mossy ground, dappled light filtering through canopy, mysterious adventurous atmosphere, rich greens and earth browns, front-facing perspective with depth, colorful detailed pixel art style, no characters present, vertical 9:16 aspect ratio"
Background - town_square,"Open town square with a central fountain. Wooden benches on sides. Small storefronts in background. Daytime bright social atmosphere.","Pixel art town square scene, central fountain in middle, wooden benches on sides, small storefronts visible in background, cobblestone ground, bright cheerful daytime social atmosphere, front-facing perspective with depth, colorful detailed pixel art style, no characters present, vertical 9:16 aspect ratio"
Background - chubs_office,"Small business office interior. Desk with nameplate. Charts and graphs on wall. Visitor chair. Professional but slightly absurd corporate feel.","Pixel art small office interior, desk with nameplate, charts and graphs pinned on wall, visitor chair in front of desk, filing cabinet, professional corporate atmosphere with slightly absurd details, front-facing perspective with depth, colorful detailed pixel art style, no characters present, vertical 9:16 aspect ratio"
Background - reows_place,"Chaotic messy room interior. Random items scattered everywhere. Eclectic decorations. Energetic cluttered creative space feel.","Pixel art chaotic messy room interior, random items scattered everywhere, eclectic mismatched decorations on walls, stacked boxes and random props, energetic cluttered creative space atmosphere, front-facing perspective with depth, colorful detailed pixel art style, no characters present, vertical 9:16 aspect ratio"
